id,family,father,mother,midparentheight,children,childnum,gender,childheight
122,33,72,62,69.48000336,5,1,male,72
123,33,72,62,69.48000336,5,2,male,71.5
124,33,72,62,69.48000336,5,3,male,71.5
125,33,72,62,69.48000336,5,4,male,70
126,33,72,62,69.48000336,5,5,female,68
127,34,72,61,68.94000244,1,1,female,65.69999695
128,35,71,69,72.76000214,5,1,male,78
129,35,71,69,72.76000214,5,2,male,74
130,35,71,69,72.76000214,5,3,male,73
131,35,71,69,72.76000214,5,4,male,72
132,35,71,69,72.76000214,5,5,female,67
133,36,71,67,71.68000031,4,1,male,73.19999695
134,36,71,67,71.68000031,4,2,male,73
135,36,71,67,71.68000031,4,3,male,69
136,36,71,67,71.68000031,4,4,female,67
137,37,71,66,71.13999939,4,1,male,70
138,37,71,66,71.13999939,4,2,female,67
139,37,71,66,71.13999939,4,3,female,67
140,37,71,66,71.13999939,4,4,female,66.5
141,38,71,66,71.13999939,6,1,male,70
142,38,71,66,71.13999939,6,2,male,69
143,38,71,66,71.13999939,6,3,male,68.5
144,38,71,66,71.13999939,6,4,female,66
145,38,71,66,71.13999939,6,5,female,64.5
146,38,71,66,71.13999939,6,6,female,63
147,39,71,66,71.13999939,2,1,male,71
148,39,71,66,71.13999939,2,2,female,67
149,40,71,66,71.13999939,5,1,male,76
150,40,71,66,71.13999939,5,2,male,72
151,40,71,66,71.13999939,5,3,male,71
152,40,71,66,71.13999939,5,4,male,66
153,40,71,66,71.13999939,5,5,female,66
154,41,71.69999695,65.5,71.22000122,1,1,male,70.5
155,42,71,65.5,70.87000275,6,1,male,72
156,42,71,65.5,70.87000275,6,2,male,72
157,42,71,65.5,70.87000275,6,3,male,71
158,42,71,65.5,70.87000275,6,4,male,69
159,42,71,65.5,70.87000275,6,5,female,66
160,42,71,65.5,70.87000275,6,6,female,65
161,43,71.5,65.5,71.12000275,2,1,male,73
162,43,71.5,65.5,71.12000275,2,2,female,65.19999695
163,44,71.5,65,70.84999847,2,1,male,68.5
164,44,71.5,65,70.84999847,2,2,male,67.69999695
165,45,71,65,70.59999847,3,1,male,68
166,45,71,65,70.59999847,3,2,male,68
167,45,71,65,70.59999847,3,3,female,62
168,46,71,64,70.05999756,8,1,female,68
169,46,71,64,70.05999756,8,2,female,68
170,46,71,64,70.05999756,8,3,female,67.5
171,46,71,64,70.05999756,8,4,female,66.5
172,46,71,64,70.05999756,8,5,female,66.5
173,46,71,64,70.05999756,8,6,female,66
174,46,71,64,70.05999756,8,7,female,65.5
175,46,71,64,70.05999756,8,8,female,65
176,47,71.69999695,64.5,70.68000031,4,1,male,72
177,47,71.69999695,64.5,70.68000031,4,2,male,71
178,47,71.69999695,64.5,70.68000031,4,3,male,70.5
179,47,71.69999695,64.5,70.68000031,4,4,female,67
180,48,71,64,70.05999756,3,1,male,68
181,48,71,64,70.05999756,3,2,male,68
182,48,71,64,70.05999756,3,3,male,68
183,49,71.5,64.5,70.58000183,7,1,male,72
184,49,71.5,64.5,70.58000183,7,2,male,71
185,49,71.5,64.5,70.58000183,7,3,male,70
186,49,71.5,64.5,70.58000183,7,4,female,66
187,49,71.5,64.5,70.58000183,7,5,female,64.5
188,49,71.5,64.5,70.58000183,7,6,female,64.5
189,49,71.5,64.5,70.58000183,7,7,female,62
190,50,71,64.5,70.33000183,2,1,male,73
191,50,71,64.5,70.33000183,2,2,female,62
192,51,71.19999695,63,69.62000275,2,1,female,67.5
193,51,71.19999695,63,69.62000275,2,2,female,64.5
194,52,71,63.5,69.79000092,5,1,male,71
195,52,71,63.5,69.79000092,5,2,male,67
196,52,71,63.5,69.79000092,5,3,female,66
197,52,71,63.5,69.79000092,5,4,female,65
198,52,71,63.5,69.79000092,5,5,female,63.5
199,53,71,63,69.51999664,9,1,male,71
200,53,71,63,69.51999664,9,2,male,70
201,53,71,63,69.51999664,9,3,male,70
202,53,71,63,69.51999664,9,4,male,64
203,53,71,63,69.51999664,9,5,female,65
204,53,71,63,69.51999664,9,6,female,65
205,53,71,63,69.51999664,9,7,female,64
206,53,71,63,69.51999664,9,8,female,63
207,53,71,63,69.51999664,9,9,female,63
208,54,71,63,69.51999664,4,1,male,71
209,54,71,63,69.51999664,4,2,male,71
210,54,71,63,69.51999664,4,3,male,70
211,54,71,63,69.51999664,4,4,female,63.5
212,55,71,62,68.98000336,5,1,male,71
213,55,71,62,68.98000336,5,2,male,70
214,55,71,62,68.98000336,5,3,female,64.5
215,55,71,62,68.98000336,5,4,female,62.5
216,55,71,62,68.98000336,5,5,female,61.5
217,56,71,62,68.98000336,5,1,male,72
218,56,71,62,68.98000336,5,2,male,70.5
219,56,71,62,68.98000336,5,3,male,70.5
220,56,71,62,68.98000336,5,4,female,64.5
221,56,71,62,68.98000336,5,5,female,60
222,57,71,62.5,69.25,5,1,male,70
223,57,71,62.5,69.25,5,2,female,64
224,57,71,62.5,69.25,5,3,female,64
225,57,71,62.5,69.25,5,4,female,64
226,57,71,62.5,69.25,5,5,female,62.5
227,58,71,62,68.98000336,7,1,male,70.5
228,58,71,62,68.98000336,7,2,male,70
229,58,71,62,68.98000336,7,3,male,69
230,58,71,62,68.98000336,7,4,male,69
231,58,71,62,68.98000336,7,5,male,66
232,58,71,62,68.98000336,7,6,female,64.5
233,58,71,62,68.98000336,7,7,female,64
234,59,71,61,68.44000244,1,1,female,62
235,60,71,58,66.81999969,2,1,male,71.5
236,60,71,58,66.81999969,2,2,male,69
237,61,70,69,72.26000214,4,1,male,71
238,61,70,69,72.26000214,4,2,male,70
239,61,70,69,72.26000214,4,3,male,69
240,61,70,69,72.26000214,4,4,female,69
241,62,70,69,72.26000214,6,1,male,70
242,62,70,69,72.26000214,6,2,male,68.69999695
243,62,70,69,72.26000214,6,3,female,68
244,62,70,69,72.26000214,6,4,female,66
245,62,70,69,72.26000214,6,5,female,64
246,62,70,69,72.26000214,6,6,female,62
247,63,70,68,71.72000122,1,1,male,75
248,64,70,67,71.18000031,5,1,male,70
249,64,70,67,71.18000031,5,2,male,69
250,64,70,67,71.18000031,5,3,female,66
251,64,70,67,71.18000031,5,4,female,64
252,64,70,67,71.18000031,5,5,female,60
253,65,70,67,71.18000031,1,1,female,67.5
254,66,70,66.5,70.91000366,11,1,male,73
255,66,70,66.5,70.91000366,11,2,male,72
256,66,70,66.5,70.91000366,11,3,male,72
257,66,70,66.5,70.91000366,11,4,male,66.5
258,66,70,66.5,70.91000366,11,5,female,69.19999695
259,66,70,66.5,70.91000366,11,6,female,67.19999695
260,66,70,66.5,70.91000366,11,7,female,66.5
261,66,70,66.5,70.91000366,11,8,female,66
262,66,70,66.5,70.91000366,11,9,female,66
263,66,70,66.5,70.91000366,11,10,female,64.19999695
264,66,70,66.5,70.91000366,11,11,female,63.70000076
265,67,70.5,65,70.34999847,4,1,male,72
266,67,70.5,65,70.34999847,4,2,male,70.19999695
267,67,70.5,65,70.34999847,4,3,male,69
268,67,70.5,65,70.34999847,4,4,male,68.5
269,68,70.5,65,70.34999847,5,1,female,68
270,68,70.5,65,70.34999847,5,2,female,65
271,68,70.5,65,70.34999847,5,3,female,61.5
272,68,70.5,65,70.34999847,5,4,female,61
273,68,70.5,65,70.34999847,5,5,female,61
274,69,70,65,70.09999847,8,1,male,73
275,69,70,65,70.09999847,8,2,male,72
276,69,70,65,70.09999847,8,3,male,70.5
277,69,70,65,70.09999847,8,4,male,65
278,69,70,65,70.09999847,8,5,male,65
279,69,70,65,70.09999847,8,6,female,64.5
280,69,70,65,70.09999847,8,7,female,63
281,69,70,65,70.09999847,8,8,female,62
282,70,70,65,70.09999847,5,1,male,67
283,70,70,65,70.09999847,5,2,male,65
284,70,70,65,70.09999847,5,3,female,64.5
285,70,70,65,70.09999847,5,4,female,62.5
286,70,70,65,70.09999847,5,5,female,62.5
287,71,70,65,70.09999847,6,1,male,70
288,71,70,65,70.09999847,6,2,male,70
289,71,70,65,70.09999847,6,3,female,67
290,71,70,65,70.09999847,6,4,female,65
291,71,70,65,70.09999847,6,5,female,65
292,71,70,65,70.09999847,6,6,female,63
293,72,70,65,70.09999847,7,1,male,79
294,72,70,65,70.09999847,7,2,male,75
295,72,70,65,70.09999847,7,3,male,71
296,72,70,65,70.09999847,7,4,female,69
297,72,70,65,70.09999847,7,5,female,67
298,72,70,65,70.09999847,7,6,female,65.69999695
299,72,70,65,70.09999847,7,7,female,62
300,73,70,65,70.09999847,3,1,male,73
301,73,70,65,70.09999847,3,2,male,72.5
302,73,70,65,70.09999847,3,3,female,65
303,74,70,65,70.09999847,2,1,male,69
304,74,70,65,70.09999847,2,2,male,69
305,75,70,64.69999695,69.93800354,7,1,male,72
306,75,70,64.69999695,69.93800354,7,2,male,70
307,75,70,64.69999695,69.93800354,7,3,male,68.69999695
308,75,70,64.69999695,69.93800354,7,4,female,66.5
309,75,70,64.69999695,69.93800354,7,5,female,65.5
310,75,70,64.69999695,69.93800354,7,6,female,64.69999695
311,75,70,64.69999695,69.93800354,7,7,female,64.5
312,76,70,64,69.55999756,7,1,male,70.69999695
313,76,70,64,69.55999756,7,2,male,70
314,76,70,64,69.55999756,7,3,male,68
315,76,70,64,69.55999756,7,4,male,67
316,76,70,64,69.55999756,7,5,male,66
317,76,70,64,69.55999756,7,6,male,65
318,76,70,64,69.55999756,7,7,female,67
319,77,70,64,69.55999756,4,1,male,70
320,77,70,64,69.55999756,4,2,male,68
321,77,70,64,69.55999756,4,3,male,66.69999695
322,77,70,64,69.55999756,4,4,female,65.5
323,78,70,64.19999695,69.66799927,5,1,male,72
324,78,70,64.19999695,69.66799927,5,2,male,70
325,78,70,64.19999695,69.66799927,5,3,female,62.5
326,78,70,64.19999695,69.66799927,5,4,female,61.20000076
327,78,70,64.19999695,69.66799927,5,5,female,60.09999847
328,79,70.5,64,69.80999756,8,1,male,74
329,79,70.5,64,69.80999756,8,2,male,69.5
330,79,70.5,64,69.80999756,8,3,male,69
331,79,70.5,64,69.80999756,8,4,male,68
332,79,70.5,64,69.80999756,8,5,male,68
333,79,70.5,64,69.80999756,8,6,male,68
334,79,70.5,64,69.80999756,8,7,female,65.5
335,79,70.5,64,69.80999756,8,8,female,65
336,80,70.5,64.5,70.08000183,1,1,female,60
337,81,70,64,69.55999756,4,1,male,68
338,81,70,64,69.55999756,4,2,female,65
339,81,70,64,69.55999756,4,3,female,64
340,81,70,64,69.55999756,4,4,female,62
341,82,70,64,69.55999756,9,1,male,71
342,82,70,64,69.55999756,9,2,male,70
343,82,70,64,69.55999756,9,3,male,70
344,82,70,64,69.55999756,9,4,male,70
345,82,70,64,69.55999756,9,5,male,69.5
346,82,70,64,69.55999756,9,6,male,68.5
347,82,70,64,69.55999756,9,7,female,69
348,82,70,64,69.55999756,9,8,female,65
349,82,70,64,69.55999756,9,9,female,64
350,83,70,63.70000076,69.39800262,8,1,male,70
351,83,70,63.70000076,69.39800262,8,2,male,67
352,83,70,63.70000076,69.39800262,8,3,male,65.5
353,83,70,63.70000076,69.39800262,8,4,female,63.70000076
354,83,70,63.70000076,69.39800262,8,5,female,63.20000076
355,83,70,63.70000076,69.39800262,8,6,female,62.5
356,83,70,63.70000076,69.39800262,8,7,female,62.20000076
357,83,70,63.70000076,69.39800262,8,8,female,61
358,84,70.5,63,69.26999664,4,1,male,70
359,84,70.5,63,69.26999664,4,2,male,68.5
360,84,70.5,63,69.26999664,4,3,female,65.5
361,84,70.5,63,69.26999664,4,4,female,63.5
362,85,70.5,63,69.26999664,5,1,male,72.5
363,85,70.5,63,69.26999664,5,2,male,69
364,85,70.5,63,69.26999664,5,3,male,67
365,85,70.5,63,69.26999664,5,4,female,64.5
366,85,70.5,63,69.26999664,5,5,female,64
367,86,70,63.5,69.29000092,4,1,male,71
368,86,70,63.5,69.29000092,4,2,male,67.5
369,86,70,63.5,69.29000092,4,3,female,67.5
370,86,70,63.5,69.29000092,4,4,female,63.5
371,87,70,63,69.01999664,4,1,male,68
372,87,70,63,69.01999664,4,2,male,67
373,87,70,63,69.01999664,4,3,female,63.70000076
374,87,70,63,69.01999664,4,4,female,62
375,88,70,63,69.01999664,4,1,male,70
376,88,70,63,69.01999664,4,2,male,66.5
377,88,70,63,69.01999664,4,3,female,62
378,88,70,63,69.01999664,4,4,female,61
379,89,70.5,62,68.73000336,8,1,male,72
380,89,70.5,62,68.73000336,8,2,male,70
381,89,70.5,62,68.73000336,8,3,male,69.5
382,89,70.5,62,68.73000336,8,4,male,69.5
383,89,70.5,62,68.73000336,8,5,male,68
384,89,70.5,62,68.73000336,8,6,female,65
385,89,70.5,62,68.73000336,8,7,female,64
386,89,70.5,62,68.73000336,8,8,female,63
387,90,70.30000305,62.70000076,69.00800323,7,1,male,70.69999695
388,90,70.30000305,62.70000076,69.00800323,7,2,male,69.69999695
389,90,70.30000305,62.70000076,69.00800323,7,3,male,69.19999695
390,90,70.30000305,62.70000076,69.00800323,7,4,male,65.19999695
391,90,70.30000305,62.70000076,69.00800323,7,5,female,64
392,90,70.30000305,62.70000076,69.00800323,7,6,female,63.5
393,90,70.30000305,62.70000076,69.00800323,7,7,female,63.20000076
394,91,70.5,62,68.73000336,3,1,male,72
395,91,70.5,62,68.73000336,3,2,male,72
396,91,70.5,62,68.73000336,3,3,female,60
397,92,70,61,67.94000244,2,1,male,71.19999695
398,92,70,61,67.94000244,2,2,male,67
399,93,70,60,67.40000153,4,1,male,67
400,93,70,60,67.40000153,4,2,male,64.5
401,93,70,60,67.40000153,4,3,female,65
402,93,70,60,67.40000153,4,4,female,63
403,94,70,60,67.40000153,2,1,female,65
404,94,70,60,67.40000153,2,2,female,65
405,95,70,58.5,66.58999634,3,1,male,71.5
406,95,70,58.5,66.58999634,3,2,male,64.5
407,95,70,58.5,66.58999634,3,3,female,63
408,96,70,58,66.31999969,5,1,male,72
409,96,70,58,66.31999969,5,2,male,66
410,96,70,58,66.31999969,5,3,female,66
411,96,70,58,66.31999969,5,4,female,65
412,96,70,58,66.31999969,5,5,female,63
413,97,69,68.5,71.48999786,10,1,male,75
414,97,69,68.5,71.48999786,10,2,male,71
415,97,69,68.5,71.48999786,10,3,male,70
416,97,69,68.5,71.48999786,10,4,female,66
417,97,69,68.5,71.48999786,10,5,female,66
418,97,69,68.5,71.48999786,10,6,female,65.5
419,97,69,68.5,71.48999786,10,7,female,65
420,97,69,68.5,71.48999786,10,8,female,65
421,97,69,68.5,71.48999786,10,9,female,64
422,97,69,68.5,71.48999786,10,10,female,64
423,98,69,67,70.68000031,1,1,female,64
424,99,69,66,70.13999939,8,1,male,73
425,99,69,66,70.13999939,8,2,male,72
426,99,69,66,70.13999939,8,3,male,71.69999695
427,99,69,66,70.13999939,8,4,male,71.5
428,99,69,66,70.13999939,8,5,female,65.5
429,99,69,66,70.13999939,8,6,female,65
430,99,69,66,70.13999939,8,7,female,62.70000076
431,99,69,66,70.13999939,8,8,female,62.5
432,100,69,66,70.13999939,3,1,male,71.19999695
433,100,69,66,70.13999939,3,2,male,71
434,100,69,66,70.13999939,3,3,male,70
435,101,69,66.69999695,70.51799774,4,1,male,75
436,101,69,66.69999695,70.51799774,4,2,male,74
437,101,69,66.69999695,70.51799774,4,3,male,72
438,101,69,66.69999695,70.51799774,4,4,male,68.5
439,102,69,66,70.13999939,6,1,male,70
440,102,69,66,70.13999939,6,2,male,68.5
441,102,69,66,70.13999939,6,3,male,68
442,102,69,66,70.13999939,6,4,female,65
443,102,69,66,70.13999939,6,5,female,63
444,102,69,66,70.13999939,6,6,female,62.5
445,103,69,66.5,70.41000366,7,1,male,73
446,103,69,66.5,70.41000366,7,2,male,71
447,103,69,66.5,70.41000366,7,3,male,70.5
448,103,69,66.5,70.41000366,7,4,male,70.5
449,103,69,66.5,70.41000366,7,5,male,67
450,103,69,66.5,70.41000366,7,6,male,66
451,103,69,66.5,70.41000366,7,7,female,61
452,104,69.5,66.5,70.66000366,4,1,male,70.5
453,104,69.5,66.5,70.66000366,4,2,male,67.5
454,104,69.5,66.5,70.66000366,4,3,female,64.5
455,104,69.5,66.5,70.66000366,4,4,female,64
456,105,69,66.5,70.41000366,6,1,male,71
457,105,69,66.5,70.41000366,6,2,female,68.5
458,105,69,66.5,70.41000366,6,3,female,67.5
459,105,69,66.5,70.41000366,6,4,female,66
460,105,69,66.5,70.41000366,6,5,female,63
461,105,69,66.5,70.41000366,6,6,female,63
462,106,69.5,66,70.38999939,7,1,male,71
463,106,69.5,66,70.38999939,7,2,male,71
464,106,69.5,66,70.38999939,7,3,male,70.5
465,106,69.5,66,70.38999939,7,4,male,70.5
466,106,69.5,66,70.38999939,7,5,female,66.5
467,106,69.5,66,70.38999939,7,6,female,65.5
468,106,69.5,66,70.38999939,7,7,female,64.5
469,107,69,66,70.13999939,9,1,male,73
470,107,69,66,70.13999939,9,2,male,72
471,107,69,66,70.13999939,9,3,male,69
472,107,69,66,70.13999939,9,4,male,69
473,107,69,66,70.13999939,9,5,female,66.5
474,107,69,66,70.13999939,9,6,female,65.5
475,107,69,66,70.13999939,9,7,female,65.5
476,107,69,66,70.13999939,9,8,female,65
477,107,69,66,70.13999939,9,9,female,64
478,108,69,65,69.59999847,7,1,male,70
479,108,69,65,69.59999847,7,2,male,68.5
480,108,69,65,69.59999847,7,3,male,67
481,108,69,65,69.59999847,7,4,female,65
482,108,69,65,69.59999847,7,5,female,64
483,108,69,65,69.59999847,7,6,female,63.5
484,108,69,65,69.59999847,7,7,female,61
485,109,69.5,64.5,69.58000183,7,1,male,69.69999695
486,109,69.5,64.5,69.58000183,7,2,male,68
487,109,69.5,64.5,69.58000183,7,3,male,60
488,109,69.5,64.5,69.58000183,7,4,female,65.19999695
489,109,69.5,64.5,69.58000183,7,5,female,64.5
490,109,69.5,64.5,69.58000183,7,6,female,63.70000076
491,109,69.5,64.5,69.58000183,7,7,female,60
492,110,69.19999695,64,69.16000366,4,1,male,71.69999695
493,110,69.19999695,64,69.16000366,4,2,male,66.5
494,110,69.19999695,64,69.16000366,4,3,female,65
495,110,69.19999695,64,69.16000366,4,4,female,63.5
496,111,69,63.5,68.79000092,1,1,female,65.5
497,112,69,63,68.51999664,3,1,male,69
498,112,69,63,68.51999664,3,2,female,67.5
499,112,69,63,68.51999664,3,3,female,63.5
500,113,69,63,68.51999664,1,1,male,72
501,114,69,63,68.51999664,6,1,male,73
502,114,69,63,68.51999664,6,2,male,70
503,114,69,63,68.51999664,6,3,male,70
504,114,69,63,68.51999664,6,4,male,64
505,114,69,63,68.51999664,6,5,female,66
506,114,69,63,68.51999664,6,6,female,62
507,115,69,63.5,68.79000092,7,1,male,70.5
508,115,69,63.5,68.79000092,7,2,male,67
509,115,69,63.5,68.79000092,7,3,male,66
510,115,69,63.5,68.79000092,7,4,female,65
511,115,69,63.5,68.79000092,7,5,female,63
512,115,69,63.5,68.79000092,7,6,female,62
513,115,69,63.5,68.79000092,7,7,female,61
514,116,69,63.5,68.79000092,3,1,male,70.5
515,116,69,63.5,68.79000092,3,2,female,63.70000076
516,116,69,63.5,68.79000092,3,3,female,63
517,117,69.69999695,62,68.33000183,1,1,female,62.5
518,118,69.5,62,68.23000336,3,1,male,73
519,118,69.5,62,68.23000336,3,2,male,72
520,118,69.5,62,68.23000336,3,3,male,69
521,119,69,62,67.98000336,5,1,male,73
522,119,69,62,67.98000336,5,2,male,71
523,119,69,62,67.98000336,5,3,male,71
524,119,69,62,67.98000336,5,4,male,69
525,119,69,62,67.98000336,5,5,female,63
526,120,69.5,62,68.23000336,11,1,male,72
527,120,69.5,62,68.23000336,11,2,male,70
528,120,69.5,62,68.23000336,11,3,male,67.80000305
529,120,69.5,62,68.23000336,11,4,female,65.19999695
530,120,69.5,62,68.23000336,11,5,female,64.69999695
531,120,69.5,62,68.23000336,11,6,female,64.5
532,120,69.5,62,68.23000336,11,7,female,63.5
533,120,69.5,62,68.23000336,11,8,female,63.5
534,120,69.5,62,68.23000336,11,9,female,62.5
535,120,69.5,62,68.23000336,11,10,female,62
536,120,69.5,62,68.23000336,11,11,female,61.5
537,121,69,62.5,68.25,8,1,male,71
538,121,69,62.5,68.25,8,2,male,70
539,121,69,62.5,68.25,8,3,male,70
540,121,69,62.5,68.25,8,4,male,69
541,121,69,62.5,68.25,8,5,female,63.5
542,121,69,62.5,68.25,8,6,female,62.5
543,121,69,62.5,68.25,8,7,female,62.5
544,121,69,62.5,68.25,8,8,female,62
545,122,69,62,67.98000336,4,1,male,72
546,122,69,62,67.98000336,4,2,male,68
547,122,69,62,67.98000336,4,3,female,66
548,122,69,62,67.98000336,4,4,female,66
549,123,69.5,61,67.69000244,5,1,male,70
550,123,69.5,61,67.69000244,5,2,male,69.5
551,123,69.5,61,67.69000244,5,3,male,69
552,123,69.5,61,67.69000244,5,4,female,63
553,123,69.5,61,67.69000244,5,5,female,62
554,124,69,61,67.44000244,9,1,male,68
555,124,69,61,67.44000244,9,2,male,68
556,124,69,61,67.44000244,9,3,male,67.5
557,124,69,61,67.44000244,9,4,male,64
558,124,69,61,67.44000244,9,5,male,63
559,124,69,61,67.44000244,9,6,male,63
560,124,69,61,67.44000244,9,7,female,63.5
561,124,69,61,67.44000244,9,8,female,62
562,124,69,61,67.44000244,9,9,female,62
563,125,69,60,66.90000153,3,1,male,70.5
564,125,69,60,66.90000153,3,2,female,68
565,125,69,60,66.90000153,3,3,female,62.5
566,126,69,60,66.90000153,4,1,male,69
567,126,69,60,66.90000153,4,2,male,66
568,126,69,60,66.90000153,4,3,female,61.70000076
569,126,69,60,66.90000153,4,4,female,60.5
570,127,69,60.5,67.16999817,1,1,male,69.5
571,128,68.69999695,70.5,72.41999817,2,1,male,71
572,128,68.69999695,70.5,72.41999817,2,2,female,61.70000076
573,129,68.5,67,70.43000031,3,1,male,73
574,129,68.5,67,70.43000031,3,2,male,71
575,129,68.5,67,70.43000031,3,3,female,67
576,130,68.5,66.5,70.16000366,11,1,male,70
577,130,68.5,66.5,70.16000366,11,2,male,69
578,130,68.5,66.5,70.16000366,11,3,male,69
579,130,68.5,66.5,70.16000366,11,4,male,68.69999695
580,130,68.5,66.5,70.16000366,11,5,male,68.5
581,130,68.5,66.5,70.16000366,11,6,male,68.5
582,130,68.5,66.5,70.16000366,11,7,male,68
